화면 (대분류),화면 (중분류),컴포넌트,상세 컴포넌트,기능,스프린트,UI 작업,FE 작업,비고
로그인,-,로그인폼,-,이메일과 비밀번호를 입력할 수 있다.,Sprint1,미완료,미완료,
,,,,입력한 이메일과 비밀번호로 로그인을 할 수 있다. ,Sprint1,미완료,미완료,
,,,,로그인 성공 시 대시보드 페이지로 이동할 수 있다.,Sprint1,미완료,미완료,
,,,,로그인 실패 시 에러 메세지를 확인할 수 있다.,Sprint1,미완료,미완료,
1-1 메인페이지,-,헤더,mode,mode를 변경 할 수 있다.,Sprint1,완료,완료,"라이트모드, 다크모드"
,,,history,작업 히스토리 클릭 시 슬라이드 팝업을 확인할 수 있다.,Sprint1,완료,완료,
,,,,작업 히스토리 목록을 확인할 수 있다. ,Sprint1,완료,완료,
,,,,작업 히스토리 키워드를 검색할 수 있다.,Sprint1,완료,완료,전체 / 생성 / 수정 / 완료
,,,,상태에 따라 히스토리 목록을 필터링할 수 있다.,Sprint1,완료,완료,
,,,,히스토리 목록을 페이지 단위로 조회할 수 있다. ,Sprint1,미완료,미완료,
,,,,히스토리 아이템 클릭 시 해당 작업 상세 정보를 확인할 수 있다.,Sprint1,미완료,미완료,
,,,stepper,각 step 클릭 시 해당 step 페이지로 이동할 수 있다.,Sprint1,완료,완료,
,,,,현재 진행중인 step 은 활성화 표시가 된다. ,Sprint1,완료,완료,
,,,,현재 단계가 완료되지 않으면 stepper 를 통해 다음 단계로 이동할 수 없다. ,Sprint1,완료,완료,
,,사이드바 ,logo,로고 클릭 시 대시보드 페이지로 이동할 수 있다. ,Sprint1,완료,완료,대시보드 페이지에서는 페이지 이동 없음
,,,,사이드바를 펼치거나 닫을 수 있다.,Sprint1,완료,완료,
,,,recent_projects,최근 프로젝트 목록을 확인할 수 있다.,Sprint1,완료,완료,
,,,,최근 프로젝트 클릭 시 아코디언 형태로 작업 목록을 펼칠 수 있다.,Sprint1,완료,완료,
,,,,작업 목록 클릭 시 해당 작업 페이지로 이동할 수 있다.,Sprint1,완료,완료,
,,,,각 작업 목록 마우스 오버 시 팝업 메뉴로 상세 내역을 확인할 수 있다. ,Sprint1,완료,완료,
,,,,상세 작업 내역 클릭 시 해당 작업 페이지로 이동할 수 있다.,Sprint1,완료,완료,
,,,,최근 프로젝트 마우스 오버 시 휴지통 아이콘을 확인할 수 있다.,Sprint1,완료,완료,
,,,,휴지통 버튼을 클릭할 수 있다.,Sprint1,완료,완료,
,,,,휴지통 버튼을 클릭하여 삭제 모달을 확인할 수 있다. ,Sprint1,완료,완료,
